lemma	derivation	translation	n	class_2021	class_2020	Alternative_class
бергалыштны	лышт	käännähtää	2	suuntainen toiminta	NA	suuntainen toiminta
бергӧдлыны	ӧдлы	kääntyä	1	suuntainen toiminta	NA	suuntainen toiminta
бергӧдчыны	сь	kääntää	1	suuntainen toiminta	NA	suuntainen toiminta (kontrolli)
босьтны	_	ottaa	2	suuntainen toiminta	suuntainen toiminta	suuntainen toiminta (kontrolli)
босьтсьыны	сь	ilmaantuu	1	suuntainen toiminta	NA	suuntainen toiminta (fokus väylän lopussa)
быглявны	ал	kiertää	1	suuntainen toiminta	NA	suuntainen toiminta (?)
быдмыны	_	kasvaa	1	suuntainen toiminta	suuntainen toiminta	suuntainen toiminta
вайны	_	viedä	3	suora liike	suora liike	suuntainen toiminta (kontrolli)
вежны	_	siirtää	2	suora liike	NA	suuntainen toiminta (kontrolli)
веськавны	ал	päätyä	6	suora liike	suora liike	suuntainen toiminta (fokus väylän lopussa)
ветлӧдлыны	ӧдлы	kuljeskella	16	suuntainen toiminta	suuntainen toiminta	suunnaton liike
ветлывлыны	ывлы	kuljeskella	3	suuntainen toiminta	NA	suunnaton liike
ветлыны	_	kulkea	48	suora liike	suora liike	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
визувтны	_	virrata	2	suuntainen toiminta	NA	suuntainen toiminta
вольсасьны	сь	levittää	2	suuntainen toiminta	NA	suuntainen toiminta
воны	_	tulla	2	suora liike	NA	suuntainen liike (fokus väylän lopussa)
воӧдчыны	ӧдчы	saavuttaa	1	suora liike	NA	suuntainen liike (fokus väylän lopussa)
вӧрзьӧдны	ӧд	liikkua (jostakin kohdasta)	1	suuntainen toiminta	NA	suunnaton liike (?)
вӧрны	_	värähdellä	4	suora liike	suora liike	suunnaton toiminta
восьтыны	_	aueta	2	suora liike	suora liike	suuntainen toiminta
вуджны	_	ylittää	3	suora liike	NA	suuntainen toiminta
гӧглясьны	сь	pyörittää	1	suuntainen toiminta	NA	suuntainen toiminta (?; kontrolli)
гӧрны	_	kyntää	2	suuntainen toiminta	NA	suuntainen toiminta (?)
гуляйтны	_	kävellä	2	suuntainen toiminta	suuntainen toiminta	suunnaton liike (tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
исковтны	_	vieriä	4	suora liike	suora liike	suuntainen liike
кайны	_	nousta / kiivetä	5	suora liike	NA	suuntainen liike
каттьысьны	сь	kivuta	5	suora liike	suora liike	suuntainen liike
келавны	ал	samota / kahlata	1	suuntainen toiminta	NA	suunnaton liike
киссьыны	сь	valua	2	suora liike	NA	suuntainen liike
кӧдзны	_	kylvää	1	suuntainen toiminta	suuntainen toiminta	suunnaton toiminta
котӧртны	_	juosta	1	suora liike	NA	suuntainen liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
котравны	ал	juosta	1	suora liike	NA	suuntainen liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
кыскавны	ал	kiskoa	8	suora liike	suora liike	suuntainen toiminta (kontrolli)
кыскасьны	сь	kiskoa (refl)	4	suuntainen toiminta	NA	suuntainen toiminta (kontrolli)
кыскыны	_	kiskoa	9	suora liike	suora liike	suuntainen toiminta (kontrolli)
кыскыштны	шт	kiskahtaa	1	suora liike	NA	suuntainen toiminta (kontrolli)
кыссьыны	сь	kaatua	2	suora liike	NA	suuntainen toiminta (fokus väylän lopussa)
кытшавны	ал	kiertää	1	suora liike	NA	suuntainen toiminta (?)
кытшыны	_	ympäröidä	3	suuntainen toiminta	NA	suuntainen toiminta (fokus väylän lopussa)
локны	_	tulla	3	suuntainen toiminta	NA	suuntainen toiminta (fokus väylän lopussa)
лэбавны	ал	lentää	2	suora liike	suora liike	suuntainen liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
лэбзьыны	сь	lennähtää	1	suora liike	suora liike	suuntainen liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
лэбны	_	lentää	22	suora liike	suora liike	suuntainen liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
лэдзны	_	päästää	8	suora liike	suora liike	suuntainen toiminta (?; kontrolli)
лэччыны	_	päästää?	1	suora liike	NA	suuntainen toiminta (?; kontrolli)
мерайтны	_	mitata	5	suuntainen toiminta	suuntainen toiminta	suuntainen toiminta
мерайтсьыны	сь	mittautua	2	suuntainen toiminta	NA	suuntainen toiminta
мерайтчыны	сь	mittautua	1	suuntainen toiminta	NA	suuntainen toiminta
мӧдӧдны	_	lähettää	3	suuntainen toiminta	NA	suuntainen toiminta (kontrolli)
мунны	_	mennä	74	suora liike	suora liike	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
мыччысьлыны	сьлы	ilmestyä	1	suuntainen toiminta	NA	suuntainen toiminta (fokus väylän lopussa)
мыччысьны	сь	ilmestyä	5	suuntainen toiminta	suuntainen toiminta	suuntainen toiminta (fokus väylän lopussa)
новлӧдлыны	ӧдлы	kantaa	1	suuntainen toiminta	NA	suunnaton toiminta (kontrolli)
нуны	_	viedä	6	suuntainen toiminta	NA	suuntainen toiminta (kontrolli)
нуӧдны	ӧд	kuljettaa	11	suuntainen toiminta	suuntainen toiminta	suunnaton toiminta (kontrolli)
паськавны	ал	pukea	1	suuntainen toiminta	NA	suuntainen toiminta
петны	_	mennä ulos	14	suuntainen toiminta	suora liike	suuntainen liike (fokus väylän lopussa)
писькӧдчыны	ӧдчы	tunkeutua	1	suuntainen toiminta	NA	suuntainen toiminta (kontrolli)
плавайтны	_	uida	3	suuntainen toiminta	suora liike	suunnaton toiminta (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
прӧйдитны	_	kulkea	1	suuntainen toiminta	NA	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
пыравны	ал	mennä sisään	1	suuntainen toiminta	NA	suuntainen liike (fokus väylän lopussa)
пырны	_	mennä sisään	17	suuntainen toiminta	suuntainen toiminta	suuntainen liike (fokus väylän lopussa)
разавны	ал	hajaantua	2	suuntainen toiminta	suuntainen toiminta	suuntainen liike (?)
тальччыны	сь	astua	1	suora liike	NA	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
тювкнитны	_	sujahtaa	1	suuntainen toiminta	NA	suuntainen toiminta
тювкъявны	ал	suikahdella	2	suuntainen toiminta	NA	suuntainen toiminta
усьны	_	pudota	2	suora liike	NA	suuntainen toiminta
чеччыштны	шт	hypähtää	2	suuntainen toiminta	NA	suuntainen liike
чишнитыштны	шт	sujahtaa	1	suuntainen toiminta	NA	suuntainen toiminta
шедны	_	tulla / sattua	3	suuntainen toiminta	NA	suuntainen liike (?)
шуньгыны	_	lipua	1	suuntainen toiminta	NA	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
шывъявны	ал	liikkua sulavasti	1	suora liike	NA	suunnaton liike (?; tulkinta riippuu siitä, mainitaanko lauseessa toiminnan päätepiste)
